ANALYTE_NAME,violation delta
MERCURY,90.0
"1,1-DICHLOROETHYLENE",91.0
COMBINED RADIUM (-226 & -228),91.0
ETHYLENE DIBROMIDE,91.0
"1,2,3-TRICHLOROPROPANE",105.05882352941177
ASBESTOS,180.0
NITRATE-NITRITE,269.22857142857146
"ANTIMONY, TOTAL",361.0
TOTAL HALOACETIC ACIDS (HAA5),483.3333333333333
FLUORIDE,538.5714285714286
"GROSS ALPHA, EXCL. RADON & U",546.75
CADMIUM,550.5555555555555
"1,2-DIBROMO-3-CHLOROPROPANE",581.3333333333334
GROSS ALPHA PARTICLE ACTIVITY,593.5714285714286
URANIUM-238,600.0
NITRATE,601.4745762711865
TTHM,611.803738317757
PERCHLORATE,646.5
COMBINED URANIUM,648.2682926829268
ARSENIC,783.0533333333333
